"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 25, 2020","4.81","4.70","4.82","4.52","6.39K","2.38%"
"Jun 24, 2020","4.70","4.77","4.93","4.51","27.30K","-1.38%"
"Jun 23, 2020","4.77","4.47","4.94","4.44","30.41K","6.60%"
"Jun 22, 2020","4.47","4.19","4.47","4.19","8.71K","6.72%"
"Jun 21, 2020","4.19","4.18","4.20","4.14","2.07K","0.21%"
"Jun 20, 2020","4.18","4.09","4.20","4.07","7.22K","2.14%"
"Jun 19, 2020","4.09","4.15","4.17","4.07","13.94K","-1.33%"
"Jun 18, 2020","4.15","4.16","4.24","4.11","12.89K","-0.28%"
"Jun 17, 2020","4.16","4.02","4.18","3.96","13.23K","3.48%"
"Jun 16, 2020","4.02","3.94","4.09","3.91","16.32K","2.05%"
"Jun 15, 2020","3.94","3.94","3.98","3.67","23.50K","0.00%"
"Jun 14, 2020","3.94","4.11","4.11","3.92","2.98K","-4.05%"
"Jun 13, 2020","4.11","4.08","4.11","4.02","3.07K","0.73%"
"Jun 12, 2020","4.08","3.95","4.17","3.87","10.16K","2.84%"
"Jun 11, 2020","3.97","4.43","4.45","3.93","19.15K","-10.39%"
"Jun 10, 2020","4.43","4.44","4.44","4.35","4.13K","-0.31%"
"Jun 09, 2020","4.44","4.46","4.50","4.37","10.42K","-0.52%"
"Jun 08, 2020","4.46","4.33","4.46","4.33","5.29K","3.13%"
"Jun 07, 2020","4.33","4.35","4.40","4.21","6.83K","-0.58%"
"Jun 06, 2020","4.35","4.39","4.39","4.31","2.97K","-0.84%"
"Jun 05, 2020","4.39","4.43","4.47","4.35","2.98K","-0.99%"
"Jun 04, 2020","4.43","4.49","4.50","4.29","7.18K","-1.33%"
"Jun 03, 2020","4.49","4.38","4.52","4.30","11.32K","2.64%"
"Jun 02, 2020","4.38","4.37","4.62","4.13","31.59K","0.15%"
"Jun 01, 2020","4.37","4.13","4.48","4.13","20.71K","5.87%"
"May 31, 2020","4.13","4.18","4.28","4.04","32.81K","-1.25%"
"May 30, 2020","4.18","3.96","4.18","3.95","25.57K","5.44%"
"May 29, 2020","3.96","4.03","4.12","3.96","10.96K","-1.75%"
"May 28, 2020","4.03","3.86","4.05","3.84","6.20K","4.66%"
"May 27, 2020","3.86","3.84","3.91","3.81","4.08K","0.40%"
"May 26, 2020","3.84","3.85","3.88","3.78","6.88K","-0.32%"
"May 25, 2020","3.85","3.80","3.90","3.78","6.11K","0.39%"
"May 24, 2020","3.84","3.94","4.03","3.81","9.14K","-2.52%"
"May 23, 2020","3.94","4.06","4.06","3.92","9.39K","-2.91%"
"May 22, 2020","4.06","3.82","4.13","3.80","7.62K","6.10%"
"May 21, 2020","3.82","4.09","4.16","3.74","22.02K","-6.53%"
"May 20, 2020","4.09","3.93","4.13","3.90","15.72K","4.08%"
"May 19, 2020","3.93","3.89","3.93","3.79","6.51K","1.01%"
"May 18, 2020","3.89","3.78","3.93","3.78","7.54K","2.88%"
"May 17, 2020","3.78","3.78","3.84","3.76","4.26K","0.00%"
"May 16, 2020","3.78","3.66","3.79","3.62","5.39K","3.30%"
"May 15, 2020","3.66","3.81","3.83","3.63","8.27K","-3.90%"
"May 14, 2020","3.81","3.76","3.85","3.70","13.98K","1.21%"
"May 13, 2020","3.76","3.71","3.81","3.64","9.49K","1.41%"
"May 12, 2020","3.71","3.57","3.79","3.55","9.57K","3.19%"
"May 11, 2020","3.60","3.74","3.83","3.30","32.86K","-3.95%"
"May 10, 2020","3.74","4.01","4.01","3.49","76.38K","-6.66%"
"May 09, 2020","4.01","3.80","4.20","3.78","57.57K","5.63%"
"May 08, 2020","3.80","3.77","3.85","3.68","19.90K","0.70%"
"May 07, 2020","3.77","3.59","3.85","3.58","17.79K","5.01%"
"May 06, 2020","3.59","3.69","3.74","3.57","8.70K","-2.74%"
"May 05, 2020","3.69","3.73","3.82","3.68","12.23K","-0.92%"
"May 04, 2020","3.73","3.71","3.83","3.51","34.28K","0.40%"
"May 03, 2020","3.71","3.81","3.86","3.64","11.89K","-2.61%"
"May 02, 2020","3.81","3.76","3.86","3.73","4.46K","1.35%"
"May 01, 2020","3.76","3.70","3.90","3.70","20.34K","1.64%"
